"Name","Instance Count","Size (bytes)"
"byte[ ]",151458,15196088
"java.lang.String",136638,3279312
"java.util.concurrent.ConcurrentHashMap$Node",34681,1109792
"java.lang.Object[ ]",27835,1332128
"java.net.URL",19276,1233664
"java.lang.Object",18057,288912
"java.util.LinkedHashMap$Entry",14723,588920
"java.lang.Class[ ]",14627,356792
"java.util.HashMap$Node",14208,454656
"java.lang.reflect.Method",11927,1049576
"java.lang.Class",10045,1197384
"java.util.HashMap$Node[ ]",8082,639704
"java.util.ArrayList",7933,190392
"java.util.LinkedHashMap",6349,406336
"int[ ]",5555,991608
"java.lang.invoke.MemberName",5285,253680
"java.lang.String[ ]",5175,145424
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",4816,269696
"java.util.HashMap",4753,228144
"java.lang.invoke.MethodType",4288,171520
"java.util.ArrayList$Itr",4189,134048
"char[ ]",3954,396000
"java.lang.StringBuilder",3940,94560
"java.util.ImmutableCollections$ListItr",3710,118720
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",3262,104384
"java.util.TreeMap$Entry",3219,128760
"java.lang.invoke.ResolvedMethodName",3071,73704
"java.util.ImmutableCollections$List12",2850,68400
"java.lang.invoke.LambdaForm$Name",2735,87520
"java.lang.ref.SoftReference",2655,106200
"java.lang.reflect.Field",2560,184320
"java.util.concurrent.locks.ReentrantLock$NonfairSync",2550,81600
"jdk.jfr.internal.jfc.model.Constraint",2544,61056
"org.springframework.core.ResolvableType",2297,128632
"jdk.internal.vm.FillerArray",2155,4528144
"org.springframework.util.ConcurrentReferenceHashMap$Entry",2115,50760
"sun.util.locale.LocaleObjectCache$CacheEntry",2091,83640
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",2088,100224
"java.lang.reflect.Constructor",2028,146016
"java.lang.ref.WeakReference",1798,57536
"java.io.SerialCallbackContext",1781,42744
"java.util.LinkedHashSet",1769,28304
"java.util.concurrent.locks.ReentrantLock",1663,26608
"java.lang.reflect.Method[ ]",1598,88072
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject",1574,37776
"java.lang.ref.ReferenceQueue",1557,49824
"java.util.HashSet",1548,24768
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",1422,68256
"java.util.concurrent.ConcurrentHashMap",1309,83776
"java.lang.invoke.DirectMethodHandle",1303,52120
"java.util.jar.Attributes$Name",1251,30024
"sun.reflect.annotation.AnnotationInvocationHandler",1219,29256
"java.util.concurrent.ConcurrentLinkedDeque$Node",1211,29064
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",1204,38528
"java.lang.invoke.DirectMethodHandle$Constructor",1161,55728
"java.lang.invoke.BoundMethodHandle$Species_LL",1152,46080
"java.lang.Class$ReflectionData",1092,69888
"java.util.Locale",1063,34016
"sun.util.locale.BaseLocale",1063,34016
"sun.util.locale.BaseLocale$Key",1044,33408
"java.lang.Integer",1034,16544
"java.util.LinkedHashMap$LinkedKeySet",1025,24600
"sun.reflect.generics.tree.TypeArgument[ ]",1000,18464
"java.lang.Long",978,23472
"sun.reflect.generics.tree.SimpleClassTypeSignature",964,23136
"sun.reflect.generics.tree.ClassTypeSignature",939,15024
